"SampleID","concentration","anisole","heptanone","pentanone"
"250325_004742.mea",5,597.621179925259,1177.96331684799,6219.98534109572
"250325_015240.mea",20,1416.40337231912,2309.24073735214,6559.80586172674
"250325_040242.mea",30,1619.47144672218,2638.32460838654,6965.06578435255
"250325_050742.mea",0,27.0117266888764,591.788193522241,6227.57897496248
"250325_061243.mea",10,815.302030318585,1459.54596838975,6222.0873904632
"250401_134817.mea",0,29.8295794763816,530.089696106083,6174.49119399092
"250401_145315.mea",5,649.222440560247,1192.37100835973,6407.23453407583
"250401_155811.mea",10,1002.27650162234,1651.70507842871,6522.23656028122
"250401_180808.mea",20,1437.44868709423,2317.37200899119,6707.6020514117
"250401_191305.mea",30,1707.79997661963,2710.23796726323,6941.2279723619
"250402_211111.mea",0,34.0263322541054,594.981021210024,6341.58980867323
"250403_102929.mea",5,590.191986705075,1158.44332157653,6348.72379220705
"250403_113426.mea",10,973.219300396846,1691.63177798634,6605.6023084874
"250403_134420.mea",20,1391.15966599291,2307.51639692237,6912.77228404532
"250403_144916.mea",30,1643.97788869401,2746.07748420019,7108.69973039511
"250324_234241.mea",7.5,1027.32173756333,1583.12990391455,6231.79926353879
"250325_025741.mea",15,1177.68447976896,1924.1797829318,6519.70665106645
"250401_124320.mea",15,1266.49130209251,1895.06079937536,6147.08934802383
"250401_170310.mea",7.5,854.638418355369,1453.13590426638,6409.11108950646
"250402_200614.mea",15,1262.82863451521,1997.32785680278,6556.47058618403
"250403_123923.mea",7.5,787.427998166795,1391.45305271155,6677.68036999197
